,customer_id,gender,is_senior_citizen,partner,dependents,phone_service,internet_service,contract_type,payment_type,monthly_charges,total_charges,churn,tenure_months,is_female,has_churned,has_phone,has_internet,has_phone_and_internet,partner_dependents,start_date,avg_montly_charge,monthly_rate_validation,contract_type.1,phone_service.1,internet_service.1,tenure_month_ages,Phone,Internet,Services
466,0680-DFNNY,Male,No,Yes,No,2,2,0,Electronic check,$101.10,"$1,504.05",Yes,14.88,False,True,True,True,True,1,2020-04-30,$101.10,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,15,False,False,Phone and Internet
467,0682-USIXD,Female,No,Yes,No,1,2,0,Electronic check,$86.05,"$1,818.90",No,21.14,True,False,True,True,True,1,2019-10-23,$86.05,TRUE,Month-to-Month,One Line,Fiber Optic,21,False,False,Phone and Internet
468,0684-AOSIH,Male,No,Yes,No,1,2,0,Electronic check,$95.00,$95.00,Yes,1.0,False,True,True,True,True,1,2021-06-26,$95.00,TRUE,Month-to-Month,One Line,Fiber Optic,1,False,False,Phone and Internet
469,0685-MLYYM,Female,Yes,No,No,1,2,0,Electronic check,$70.75,$154.85,Yes,2.19,True,True,True,True,True,0,2021-05-21,$70.75,TRUE,Month-to-Month,One Line,Fiber Optic,2,False,False,Phone and Internet
471,0689-DSXGL,Female,No,Yes,Yes,1,2,0,Bank transfer (automatic),$85.80,"$4,433.30",No,51.67,True,False,True,True,True,3,2017-04-07,$85.80,TRUE,Month-to-Month,One Line,Fiber Optic,52,False,False,Phone and Internet
472,0689-NKYLF,Male,No,No,No,1,2,0,Electronic check,$83.20,"$1,060.60",Yes,12.75,False,True,True,True,True,0,2020-07-04,$83.20,TRUE,Month-to-Month,One Line,Fiber Optic,13,False,False,Phone and Internet
473,0690-SRQID,Male,No,No,No,1,0,0,Mailed check,$19.65,$67.55,No,3.44,False,False,True,False,False,0,2021-04-13,$19.65,TRUE,Month-to-Month,One Line,No Internet Service,3,True,False,Phone
477,0696-UKTOX,Male,No,No,Yes,1,1,0,Electronic check,$54.15,"$1,312.45",No,24.24,False,False,True,True,True,2,2019-07-20,$54.15,TRUE,Month-to-Month,One Line,DSL,24,False,False,Phone and Internet
478,0697-ZMSWS,Male,No,No,No,2,2,0,Electronic check,$85.65,$338.90,Yes,3.96,False,True,True,True,True,0,2021-03-28,$85.65,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,4,False,False,Phone and Internet
479,0699-NDKJM,Female,No,Yes,No,0,1,0,Bank transfer (automatic),$58.75,"$3,437.45",No,58.51,True,False,False,True,False,1,2016-09-11,$58.75,TRUE,Month-to-Month,No Phone Service,DSL,59,False,True,Internet
480,0701-RFGFI,Female,No,Yes,Yes,2,2,0,Bank transfer (automatic),$95.40,"$4,613.95",No,48.36,True,False,True,True,True,3,2017-07-16,$95.40,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,48,False,False,Phone and Internet
481,0701-TJSEF,Male,No,No,No,1,1,0,Bank transfer (automatic),$68.25,$576.95,No,8.45,False,False,True,True,True,0,2020-11-11,$68.25,TRUE,Month-to-Month,One Line,DSL,8,False,False,Phone and Internet
482,0702-PGIBZ,Male,No,No,Yes,2,2,0,Electronic check,$101.70,$364.55,Yes,3.58,False,True,True,True,True,2,2021-04-08,$101.70,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,4,False,False,Phone and Internet
485,0708-LGSMF,Male,No,Yes,No,2,1,0,Electronic check,$65.85,$902.25,No,13.7,False,False,True,True,True,1,2020-06-05,$65.85,TRUE,Month-to-Month,Two or More Lines,DSL,14,False,False,Phone and Internet
486,0708-SJDIS,Female,No,No,No,2,1,0,Mailed check,$65.00,"$2,157.50",No,33.19,True,False,True,True,True,0,2018-10-21,$65.00,TRUE,Month-to-Month,Two or More Lines,DSL,33,False,False,Phone and Internet
487,0709-TVGUR,Female,Yes,No,No,2,2,0,Electronic check,$74.55,$622.90,Yes,8.36,True,True,True,True,True,0,2020-11-14,$74.55,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,8,False,False,Phone and Internet
489,0719-SYFRB,Female,No,No,No,2,1,0,Mailed check,$61.65,$713.75,Yes,11.58,True,True,True,True,True,0,2020-08-08,$61.65,TRUE,Month-to-Month,Two or More Lines,DSL,12,False,False,Phone and Internet
490,0722-SVSFK,Female,No,No,No,1,2,0,Electronic check,$100.40,$715.00,No,7.12,True,False,True,True,True,0,2020-12-22,$100.40,TRUE,Month-to-Month,One Line,Fiber Optic,7,False,False,Phone and Internet
491,0722-TROQR,Female,Yes,No,No,2,2,0,Electronic check,$74.90,$321.75,Yes,4.3,True,True,True,True,True,0,2021-03-18,$74.90,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,4,False,False,Phone and Internet
492,0723-DRCLG,Female,Yes,Yes,No,2,2,0,Electronic check,$74.45,$74.45,Yes,1.0,True,True,True,True,True,1,2021-06-26,$74.45,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,1,False,False,Phone and Internet
498,0727-IWKVK,Male,No,Yes,No,1,2,0,Electronic check,$79.90,$741.70,Yes,9.28,False,True,True,True,True,1,2020-10-17,$79.90,TRUE,Month-to-Month,One Line,Fiber Optic,9,False,False,Phone and Internet
500,0730-KOAVE,Male,No,No,No,2,2,0,Credit card (automatic),$94.30,"$2,679.70",No,28.42,False,False,True,True,True,0,2019-03-15,$94.30,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,28,False,False,Phone and Internet
503,0733-VUNUW,Male,No,No,No,2,1,0,Bank transfer (automatic),$55.65,"$1,400.55",Yes,25.17,False,True,True,True,True,0,2019-06-22,$55.65,TRUE,Month-to-Month,Two or More Lines,DSL,25,False,False,Phone and Internet
504,0734-OXWBT,Male,No,No,Yes,1,1,0,Mailed check,$70.70,$225.65,No,3.19,False,False,True,True,True,2,2021-04-20,$70.70,TRUE,Month-to-Month,One Line,DSL,3,False,False,Phone and Internet
507,0742-MOABM,Male,No,Yes,No,1,1,0,Mailed check,$50.05,$179.35,Yes,3.58,False,True,True,True,True,1,2021-04-09,$50.05,TRUE,Month-to-Month,One Line,DSL,4,False,False,Phone and Internet
508,0742-NXBGR,Female,No,No,No,1,2,0,Electronic check,$82.30,$82.30,Yes,1.0,True,True,True,True,True,0,2021-06-26,$82.30,TRUE,Month-to-Month,One Line,Fiber Optic,1,False,False,Phone and Internet
512,0744-GKNGE,Female,No,Yes,Yes,2,2,0,Bank transfer (automatic),$86.80,"$5,327.25",No,61.37,True,False,True,True,True,3,2016-06-16,$86.80,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,61,False,False,Phone and Internet
513,0746-JTRFU,Male,No,No,No,0,1,0,Electronic check,$25.05,$56.35,Yes,2.25,False,True,False,True,False,0,2021-05-19,$25.05,TRUE,Month-to-Month,No Phone Service,DSL,2,False,True,Internet
515,0749-IRGQE,Female,Yes,Yes,No,0,1,0,Electronic check,$45.30,$528.45,No,11.67,True,False,False,True,False,1,2020-08-06,$45.30,TRUE,Month-to-Month,No Phone Service,DSL,12,False,True,Internet
517,0750-EKNGL,Male,No,No,No,1,0,0,Mailed check,$20.75,$141.10,No,6.8,False,False,True,False,False,0,2021-01-01,$20.75,TRUE,Month-to-Month,One Line,No Internet Service,7,True,False,Phone
519,0754-UKWQP,Male,No,No,No,1,2,0,Electronic check,$95.85,$197.70,Yes,2.06,False,True,True,True,True,0,2021-05-25,$95.85,TRUE,Month-to-Month,One Line,Fiber Optic,2,False,False,Phone and Internet
522,0761-AETCS,Female,No,No,No,1,0,0,Electronic check,$19.30,$19.30,Yes,1.0,True,True,True,False,False,0,2021-06-26,$19.30,TRUE,Month-to-Month,One Line,No Internet Service,1,True,False,Phone
525,0771-WLCLA,Female,No,Yes,Yes,2,2,0,Electronic check,$112.95,"$1,882.55",No,16.67,True,False,True,True,True,3,2020-03-07,$112.95,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,17,False,False,Phone and Internet
526,0772-GYEQQ,Male,No,No,No,1,2,0,Mailed check,$88.35,$262.05,Yes,2.97,False,True,True,True,True,0,2021-04-27,$88.35,TRUE,Month-to-Month,One Line,Fiber Optic,3,False,False,Phone and Internet
527,0774-IFUVM,Male,No,Yes,Yes,2,1,0,Bank transfer (automatic),$65.15,$723.35,No,11.1,False,False,True,True,True,3,2020-08-23,$65.15,TRUE,Month-to-Month,Two or More Lines,DSL,11,False,False,Phone and Internet
529,0778-NELLA,Male,No,No,No,0,1,0,Credit card (automatic),$34.70,$296.10,Yes,8.53,False,True,False,True,False,0,2020-11-09,$34.70,TRUE,Month-to-Month,No Phone Service,DSL,9,False,True,Internet
531,0781-LKXBR,Male,Yes,No,No,2,2,0,Electronic check,$100.50,$918.60,Yes,9.14,False,True,True,True,True,0,2020-10-21,$100.50,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,9,False,False,Phone and Internet
535,0786-VSSUD,Male,Yes,No,No,0,1,0,Mailed check,$39.00,$679.85,Yes,17.43,False,True,False,True,False,0,2020-02-12,$39.00,TRUE,Month-to-Month,No Phone Service,DSL,17,False,True,Internet
536,0787-LHDYT,Male,No,No,No,1,0,0,Credit card (automatic),$20.60,$330.25,No,16.03,False,False,True,False,False,0,2020-03-26,$20.60,TRUE,Month-to-Month,One Line,No Internet Service,16,True,False,Phone
538,0793-TWELN,Female,No,No,No,2,2,0,Electronic check,$80.15,$319.85,No,3.99,True,False,True,True,True,0,2021-03-27,$80.15,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,4,False,False,Phone and Internet
543,0799-DDIHE,Female,No,Yes,Yes,1,1,0,Electronic check,$46.30,$639.45,No,13.81,True,False,True,True,True,3,2020-06-01,$46.30,TRUE,Month-to-Month,One Line,DSL,14,False,False,Phone and Internet
544,0804-XBFBV,Female,No,No,Yes,0,1,0,Electronic check,$25.20,$321.05,No,12.74,True,False,False,True,False,2,2020-07-04,$25.20,TRUE,Month-to-Month,No Phone Service,DSL,13,False,True,Internet
546,0807-ZABDG,Female,No,No,Yes,1,1,0,Mailed check,$55.10,$154.65,Yes,2.81,True,True,True,True,True,2,2021-05-02,$55.10,TRUE,Month-to-Month,One Line,DSL,3,False,False,Phone and Internet
549,0811-GSDTP,Female,No,No,Yes,0,1,0,Electronic check,$30.15,$382.20,No,12.68,True,False,False,True,False,2,2020-07-06,$30.15,TRUE,Month-to-Month,No Phone Service,DSL,13,False,True,Internet
550,0812-WUPTB,Male,Yes,Yes,No,1,2,0,Mailed check,$70.85,$70.85,Yes,1.0,False,True,True,True,True,1,2021-06-26,$70.85,TRUE,Month-to-Month,One Line,Fiber Optic,1,False,False,Phone and Internet
553,0816-TSPHQ,Male,No,No,No,1,0,0,Mailed check,$20.75,$44.20,No,2.13,False,False,True,False,False,0,2021-05-23,$20.75,TRUE,Month-to-Month,One Line,No Internet Service,2,True,False,Phone
554,0817-HSUSE,Male,No,No,No,1,1,0,Electronic check,$75.50,$75.50,No,1.0,False,False,True,True,True,0,2021-06-26,$75.50,TRUE,Month-to-Month,One Line,DSL,1,False,False,Phone and Internet
555,0818-OCPZO,Male,Yes,No,No,2,2,0,Electronic check,$81.45,"$2,122.05",Yes,26.05,False,True,True,True,True,0,2019-05-26,$81.45,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,26,False,False,Phone and Internet
556,0820-FNRNX,Male,No,Yes,Yes,2,1,0,Mailed check,$66.70,"$1,077.05",No,16.15,False,False,True,True,True,3,2020-03-22,$66.70,TRUE,Month-to-Month,Two or More Lines,DSL,16,False,False,Phone and Internet
557,0822-GAVAP,Female,No,No,No,0,1,0,Electronic check,$34.70,$62.25,Yes,1.79,True,True,False,True,False,0,2021-06-02,$34.70,TRUE,Month-to-Month,No Phone Service,DSL,2,False,True,Internet
558,0822-QGCXA,Female,Yes,Yes,No,2,1,0,Electronic check,$83.85,"$2,310.20",No,27.55,True,False,True,True,True,1,2019-04-10,$83.85,TRUE,Month-to-Month,Two or More Lines,DSL,28,False,False,Phone and Internet
559,0823-HSCDJ,Male,Yes,No,No,0,1,0,Electronic check,$49.15,"$2,550.90",Yes,51.9,False,True,False,True,False,0,2017-03-31,$49.15,TRUE,Month-to-Month,No Phone Service,DSL,52,False,True,Internet
564,0829-XXPLX,Female,No,No,No,1,2,0,Bank transfer (automatic),$89.40,"$1,871.15",No,20.93,True,False,True,True,True,0,2019-10-29,$89.40,TRUE,Month-to-Month,One Line,Fiber Optic,21,False,False,Phone and Internet
568,0836-SEYLU,Male,No,Yes,No,0,1,0,Mailed check,$40.65,$328.95,Yes,8.09,False,True,False,True,False,1,2020-11-22,$40.65,TRUE,Month-to-Month,No Phone Service,DSL,8,False,True,Internet
572,0840-DFEZH,Female,No,No,No,2,2,0,Electronic check,$75.35,$564.65,No,7.49,True,False,True,True,True,0,2020-12-11,$75.35,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,7,False,False,Phone and Internet
573,0841-NULXI,Male,No,No,No,0,1,0,Electronic check,$35.55,$35.55,Yes,1.0,False,True,False,True,False,0,2021-06-26,$35.55,TRUE,Month-to-Month,No Phone Service,DSL,1,False,True,Internet
574,0842-IWYCP,Female,No,No,No,1,1,0,Bank transfer (automatic),$44.95,"$2,168.90",No,48.25,True,False,True,True,True,0,2017-07-20,$44.95,TRUE,Month-to-Month,One Line,DSL,48,False,False,Phone and Internet
575,0843-WTBXE,Male,No,No,No,2,2,0,Bank transfer (automatic),$85.45,"$4,517.25",Yes,52.86,False,True,True,True,True,0,2017-03-02,$85.45,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,53,False,False,Phone and Internet
578,0848-ZGQIJ,Female,No,Yes,No,1,2,0,Bank transfer (automatic),$94.65,"$1,461.15",No,15.44,True,False,True,True,True,1,2020-04-13,$94.65,TRUE,Month-to-Month,One Line,Fiber Optic,15,False,False,Phone and Internet
579,0851-DFJKB,Female,No,No,No,1,1,0,Electronic check,$58.95,$955.15,No,16.2,True,False,True,True,True,0,2020-03-21,$58.95,TRUE,Month-to-Month,One Line,DSL,16,False,False,Phone and Internet
583,0856-NAOES,Male,No,No,No,1,1,0,Mailed check,$60.90,$414.10,No,6.8,False,False,True,True,True,0,2021-01-01,$60.90,TRUE,Month-to-Month,One Line,DSL,7,False,False,Phone and Internet
588,0867-LDTTC,Male,No,No,No,1,1,0,Bank transfer (automatic),$75.15,$392.65,No,5.22,False,False,True,True,True,0,2021-02-18,$75.15,TRUE,Month-to-Month,One Line,DSL,5,False,False,Phone and Internet
589,0867-MKZVY,Female,No,Yes,No,2,2,0,Electronic check,$82.40,"$1,592.35",Yes,19.32,True,True,True,True,True,1,2019-12-17,$82.40,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,19,False,False,Phone and Internet
591,0869-PAPRP,Female,Yes,Yes,No,1,2,0,Credit card (automatic),$85.70,"$2,067.00",No,24.12,True,False,True,True,True,1,2019-07-24,$85.70,TRUE,Month-to-Month,One Line,Fiber Optic,24,False,False,Phone and Internet
592,0870-VEMYL,Female,No,No,No,1,1,0,Credit card (automatic),$53.85,$259.80,Yes,4.82,True,True,True,True,True,0,2021-03-02,$53.85,TRUE,Month-to-Month,One Line,DSL,5,False,False,Phone and Internet
593,0871-OPBXW,Female,No,No,No,1,0,0,Mailed check,$20.05,$39.25,No,1.96,True,False,True,False,False,0,2021-05-28,$20.05,TRUE,Month-to-Month,One Line,No Internet Service,2,True,False,Phone
594,0871-URUWO,Male,No,Yes,No,2,2,0,Credit card (automatic),$102.25,"$1,359.00",Yes,13.29,False,True,True,True,True,1,2020-06-17,$102.25,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,13,False,False,Phone and Internet
596,0872-JCPIB,Male,No,No,No,2,1,0,Bank transfer (automatic),$65.75,"$1,111.20",No,16.9,False,False,True,True,True,0,2020-02-28,$65.75,TRUE,Month-to-Month,Two or More Lines,DSL,17,False,False,Phone and Internet
597,0872-NXJYS,Female,No,No,No,1,2,0,Electronic check,$79.55,$723.40,Yes,9.09,True,True,True,True,True,0,2020-10-23,$79.55,TRUE,Month-to-Month,One Line,Fiber Optic,9,False,False,Phone and Internet
598,0875-CABNR,Female,Yes,No,No,1,2,0,Credit card (automatic),$84.60,$865.55,Yes,10.23,True,True,True,True,True,0,2020-09-18,$84.60,TRUE,Month-to-Month,One Line,Fiber Optic,10,False,False,Phone and Internet
599,0876-WDUUZ,Female,No,No,No,1,2,0,Credit card (automatic),$85.40,$425.90,Yes,4.99,True,True,True,True,True,0,2021-02-25,$85.40,TRUE,Month-to-Month,One Line,Fiber Optic,5,False,False,Phone and Internet
601,0880-FVFWF,Male,No,No,No,2,2,0,Electronic check,$86.40,"$4,922.40",No,56.97,False,False,True,True,True,0,2016-10-28,$86.40,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,57,False,False,Phone and Internet
602,0880-TKATG,Male,No,Yes,Yes,2,2,0,Electronic check,$101.15,$385.90,Yes,3.82,False,True,True,True,True,3,2021-04-01,$101.15,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,4,False,False,Phone and Internet
603,0883-EIBTI,Female,No,No,No,1,0,0,Mailed check,$19.50,$31.55,Yes,1.62,True,True,True,False,False,0,2021-06-07,$19.50,TRUE,Month-to-Month,One Line,No Internet Service,2,True,False,Phone
605,0886-QGENL,Female,Yes,Yes,No,1,2,0,Electronic check,$101.25,"$2,754.45",Yes,27.2,True,True,True,True,True,1,2019-04-21,$101.25,TRUE,Month-to-Month,One Line,Fiber Optic,27,False,False,Phone and Internet
606,0887-HJGAR,Male,No,No,No,1,1,0,Mailed check,$45.70,$45.70,Yes,1.0,False,True,True,True,True,0,2021-06-26,$45.70,TRUE,Month-to-Month,One Line,DSL,1,False,False,Phone and Internet
608,0895-DQHEW,Male,No,Yes,No,2,2,0,Electronic check,$104.30,"$5,278.15",Yes,50.61,False,True,True,True,True,1,2017-05-09,$104.30,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,51,False,False,Phone and Internet
612,0897-FEGMU,Female,No,Yes,No,2,2,0,Electronic check,$99.50,"$1,056.95",Yes,10.62,True,True,True,True,True,1,2020-09-06,$99.50,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,11,False,False,Phone and Internet
614,0899-LIIBW,Male,No,Yes,No,2,2,0,Electronic check,$100.85,"$3,527.30",No,34.98,False,False,True,True,True,1,2018-08-28,$100.85,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,35,False,False,Phone and Internet
615,0899-WZRSD,Male,No,No,No,2,2,0,Mailed check,$105.35,"$5,794.45",No,55.0,False,False,True,True,True,0,2016-12-27,$105.35,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,55,False,False,Phone and Internet
620,0909-SDHNU,Female,No,No,Yes,0,1,0,Mailed check,$29.80,$201.95,No,6.78,True,False,False,True,False,2,2021-01-01,$29.80,TRUE,Month-to-Month,No Phone Service,DSL,7,False,True,Internet
622,0913-XWSCN,Male,No,Yes,Yes,2,2,0,Bank transfer (automatic),$85.50,"$4,713.40",No,55.13,False,False,True,True,True,3,2016-12-23,$85.50,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,55,False,False,Phone and Internet
624,0916-QOFDP,Female,Yes,Yes,Yes,2,2,0,Electronic check,$95.80,"$1,346.30",No,14.05,True,False,True,True,True,3,2020-05-25,$95.80,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,14,False,False,Phone and Internet
626,0921-OHLVP,Male,No,No,No,2,2,0,Electronic check,$83.05,"$1,799.30",No,21.67,False,False,True,True,True,0,2019-10-07,$83.05,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,22,False,False,Phone and Internet
627,0923-PNFUB,Female,No,No,No,1,2,0,Electronic check,$83.75,$247.25,Yes,2.95,True,True,True,True,True,0,2021-04-28,$83.75,TRUE,Month-to-Month,One Line,Fiber Optic,3,False,False,Phone and Internet
628,0924-BJCRC,Female,Yes,Yes,No,2,2,0,Electronic check,$89.45,"$5,294.60",No,59.19,True,False,True,True,True,1,2016-08-21,$89.45,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,59,False,False,Phone and Internet
629,0925-VYDLG,Female,No,No,No,2,2,0,Electronic check,$75.25,$242.00,Yes,3.22,True,True,True,True,True,0,2021-04-20,$75.25,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,3,False,False,Phone and Internet
630,0927-CNGRH,Male,No,No,Yes,1,0,0,Mailed check,$19.55,$19.55,No,1.0,False,False,True,False,False,2,2021-06-26,$19.55,TRUE,Month-to-Month,One Line,No Internet Service,1,True,False,Phone
631,0927-LCSMG,Male,No,No,No,1,2,0,Mailed check,$74.65,$544.55,Yes,7.29,False,True,True,True,True,0,2020-12-17,$74.65,TRUE,Month-to-Month,One Line,Fiber Optic,7,False,False,Phone and Internet
632,0928-JMXNP,Male,Yes,Yes,No,0,1,0,Electronic check,$29.90,$118.25,No,3.95,False,False,False,True,False,1,2021-03-28,$29.90,TRUE,Month-to-Month,No Phone Service,DSL,4,False,True,Internet
633,0928-XUTSN,Female,No,No,No,1,2,0,Electronic check,$80.50,"$1,011.80",No,12.57,True,False,True,True,True,0,2020-07-09,$80.50,TRUE,Month-to-Month,One Line,Fiber Optic,13,False,False,Phone and Internet
634,0929-HYQEW,Male,No,No,No,1,1,0,Mailed check,$50.15,$160.85,No,3.21,False,False,True,True,True,0,2021-04-20,$50.15,TRUE,Month-to-Month,One Line,DSL,3,False,False,Phone and Internet
635,0929-PECLO,Female,Yes,No,No,2,2,0,Bank transfer (automatic),$89.60,"$5,538.80",No,61.82,True,False,True,True,True,0,2016-06-02,$89.60,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,62,False,False,Phone and Internet
640,0939-EREMR,Female,No,No,Yes,1,1,0,Mailed check,$53.45,$718.10,No,13.43,True,False,True,True,True,2,2020-06-13,$53.45,TRUE,Month-to-Month,One Line,DSL,13,False,False,Phone and Internet
641,0939-YAPAF,Female,No,No,No,2,2,0,Electronic check,$100.25,"$3,527.60",Yes,35.19,True,True,True,True,True,0,2018-08-21,$100.25,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,35,False,False,Phone and Internet
642,0940-OUQEC,Male,No,No,No,2,2,0,Bank transfer (automatic),$80.70,$788.80,Yes,9.77,False,True,True,True,True,0,2020-10-02,$80.70,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,10,False,False,Phone and Internet
644,0943-ZQPXH,Male,No,Yes,Yes,1,2,0,Bank transfer (automatic),$92.95,"$4,122.90",No,44.36,False,False,True,True,True,3,2017-11-15,$92.95,TRUE,Month-to-Month,One Line,Fiber Optic,44,False,False,Phone and Internet
646,0946-CLJTI,Male,Yes,Yes,No,2,2,0,Electronic check,$98.70,"$5,812.60",Yes,58.89,False,True,True,True,True,1,2016-08-30,$98.70,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,59,False,False,Phone and Internet
648,0947-IDHRQ,Female,No,No,No,1,2,0,Mailed check,$80.30,$526.70,Yes,6.56,True,True,True,True,True,0,2021-01-08,$80.30,TRUE,Month-to-Month,One Line,Fiber Optic,7,False,False,Phone and Internet
649,0947-MUGVO,Male,Yes,Yes,No,1,2,0,Electronic check,$73.65,"$1,463.50",Yes,19.87,False,True,True,True,True,1,2019-11-30,$73.65,TRUE,Month-to-Month,One Line,Fiber Optic,20,False,False,Phone and Internet
650,0952-KMEEH,Male,No,No,No,2,2,0,Mailed check,$98.15,"$1,230.25",Yes,12.53,False,True,True,True,True,0,2020-07-10,$98.15,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,13,False,False,Phone and Internet
651,0953-LGOVU,Male,No,Yes,Yes,0,1,0,Mailed check,$35.50,$432.25,No,12.18,False,False,False,True,False,3,2020-07-21,$35.50,TRUE,Month-to-Month,No Phone Service,DSL,12,False,True,Internet
654,0958-YHXGP,Female,No,No,No,1,2,0,Mailed check,$69.90,$497.30,No,7.11,True,False,True,True,True,0,2020-12-22,$69.90,TRUE,Month-to-Month,One Line,Fiber Optic,7,False,False,Phone and Internet
659,0963-ZBDRN,Male,No,No,No,1,2,0,Electronic check,$96.20,"$3,183.40",Yes,33.09,False,True,True,True,True,0,2018-10-24,$96.20,TRUE,Month-to-Month,One Line,Fiber Optic,33,False,False,Phone and Internet
661,0968-GSIKN,Female,No,No,No,1,2,0,Mailed check,$70.80,$70.80,Yes,1.0,True,True,True,True,True,0,2021-06-26,$70.80,TRUE,Month-to-Month,One Line,Fiber Optic,1,False,False,Phone and Internet
663,0970-ETWGE,Male,No,No,No,1,2,0,Electronic check,$89.55,$89.55,Yes,1.0,False,True,True,True,True,0,2021-06-26,$89.55,TRUE,Month-to-Month,One Line,Fiber Optic,1,False,False,Phone and Internet
664,0970-QXPXW,Female,No,No,No,1,0,0,Mailed check,$19.65,$19.65,No,1.0,True,False,True,False,False,0,2021-06-26,$19.65,TRUE,Month-to-Month,One Line,No Internet Service,1,True,False,Phone
668,0975-VOOVL,Female,No,No,No,0,1,0,Mailed check,$29.20,$98.50,No,3.37,True,False,False,True,False,0,2021-04-15,$29.20,TRUE,Month-to-Month,No Phone Service,DSL,3,False,True,Internet
670,0979-PHULV,Male,No,Yes,Yes,2,2,0,Credit card (automatic),$99.45,"$7,007.60",Yes,70.46,False,True,True,True,True,3,2015-09-13,$99.45,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,70,False,False,Phone and Internet
672,0980-PVMRC,Female,No,Yes,Yes,0,1,0,Electronic check,$50.85,"$2,036.55",No,40.05,True,False,False,True,False,3,2018-03-26,$50.85,TRUE,Month-to-Month,No Phone Service,DSL,40,False,True,Internet
675,0988-JRWWP,Female,No,No,No,1,1,0,Electronic check,$54.20,$140.40,No,2.59,True,False,True,True,True,0,2021-05-09,$54.20,TRUE,Month-to-Month,One Line,DSL,3,False,False,Phone and Internet
676,0991-BRRFB,Male,No,No,No,1,1,0,Electronic check,$49.40,$874.80,Yes,17.71,False,True,True,True,True,0,2020-02-04,$49.40,TRUE,Month-to-Month,One Line,DSL,18,False,False,Phone and Internet
678,0997-YTLNY,Female,No,No,Yes,1,1,0,Mailed check,$48.80,$953.65,No,19.54,True,False,True,True,True,2,2019-12-10,$48.80,TRUE,Month-to-Month,One Line,DSL,20,False,False,Phone and Internet
679,0999-QXNSA,Male,Yes,No,Yes,1,1,0,Mailed check,$45.75,$344.20,No,7.52,False,False,True,True,True,2,2020-12-10,$45.75,TRUE,Month-to-Month,One Line,DSL,8,False,False,Phone and Internet
680,1000-AJSLD,Male,No,No,No,1,0,0,Mailed check,$20.10,$20.10,Yes,1.0,False,True,True,False,False,0,2021-06-26,$20.10,TRUE,Month-to-Month,One Line,No Internet Service,1,True,False,Phone
682,1009-IRMNA,Female,No,No,No,1,0,0,Bank transfer (automatic),$20.00,$137.60,Yes,6.88,True,True,True,False,False,0,2020-12-29,$20.00,TRUE,Month-to-Month,One Line,No Internet Service,7,True,False,Phone
683,1010-DIAUQ,Male,No,No,No,1,2,0,Bank transfer (automatic),$96.50,$492.55,Yes,5.1,False,True,True,True,True,0,2021-02-21,$96.50,TRUE,Month-to-Month,One Line,Fiber Optic,5,False,False,Phone and Internet
684,1013-QCWAM,Female,Yes,Yes,No,2,2,0,Electronic check,$100.80,"$6,690.75",No,66.38,True,False,True,True,True,1,2016-01-16,$100.80,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,66,False,False,Phone and Internet
686,1015-OWJKI,Male,No,No,No,1,0,0,Mailed check,$19.05,$19.05,No,1.0,False,False,True,False,False,0,2021-06-26,$19.05,TRUE,Month-to-Month,One Line,No Internet Service,1,True,False,Phone
687,1016-DJTSV,Male,Yes,No,No,1,2,0,Electronic check,$69.70,$572.85,No,8.22,False,False,True,True,True,0,2020-11-19,$69.70,TRUE,Month-to-Month,One Line,Fiber Optic,8,False,False,Phone and Internet
